0,false
1,false
2,false
3,false
4,false
5,true
6,false
7,false
8,false
9,false
10,false
11,false
12,false
13,false
14,true
15,false
16,true
17,false
18,false
19,false
20,false
21,false
22,false
23,false
24,false
25,false
26,false
27,true
28,false
29,false
30,false
31,false
32,false
33,false
34,false
35,true
36,false
37,false
38,false
39,false
40,false
41,true
42,false
43,false
44,false
45,false
46,false
47,false
48,true
49,true
50,false
51,false
52,false
53,true
54,false
55,false
56,false
57,false
58,false
59,false
60,false
61,true
62,false
63,false
64,false
65,false
66,false
67,false
68,true
69,false
70,false
71,true
72,false
73,false
74,false
75,false
76,true
77,false
78,true
79,false
80,false
81,false
82,false
83,false
84,false
85,false
86,false
87,false
88,false
89,false
90,false
91,false
92,false
93,false
94,true
95,false
96,true
97,false
98,false
99,false
