KLEE: Using STP solver backend
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
KLEE: ERROR: /home/klee/lab2/Problem14/Problem14.c:9: ASSERTION FAIL: 0
